Saving all results to benchmark_results.txt
Running hadamard_serial with N=10000, Trial=1
Running hadamard_serial with N=20000, Trial=1
Running hadamard_serial with N=30000, Trial=1
Running hadamard_omp_dynamic_100 with N=10000, Threads=1, Trial=1
Running hadamard_omp_dynamic_100 with N=10000, Threads=4, Trial=1
Running hadamard_omp_dynamic_100 with N=10000, Threads=8, Trial=1
Running hadamard_omp_dynamic_100 with N=10000, Threads=12, Trial=1
Running hadamard_omp_dynamic_100 with N=20000, Threads=1, Trial=1
Running hadamard_omp_dynamic_100 with N=20000, Threads=4, Trial=1
Running hadamard_omp_dynamic_100 with N=20000, Threads=8, Trial=1
Running hadamard_omp_dynamic_100 with N=20000, Threads=12, Trial=1
Running hadamard_omp_dynamic_100 with N=30000, Threads=1, Trial=1
Running hadamard_omp_dynamic_100 with N=30000, Threads=4, Trial=1
Running hadamard_omp_dynamic_100 with N=30000, Threads=8, Trial=1
slurmstepd-n002: error: *** JOB 207893 ON n002 CANCELLED AT 2025-04-27T23:00:50 ***
